SPANISH,ENGLISH
devolver,return
solitario,lonely
misiles,missiles
desnuda,naked
vaquero,cowboy
únicos,unique
trasera,rear
sano,healthy
piezas,parts
liga,league
gerente,manager
caridad,charity
armados,armed
trajeron,They brought
religión,religion
fotografías,Photographs
sentirse,feel
rezar,pray
protege,protects
preparen,Prepare
niñera,babysitter
naranja,orange
matarnos,kill us
jugada,move
espérame,wait for me
enseñarte,teach you
cohete,rocket
tanques,Tanks
sombras,shades
moverse,move
llegara,reach
cortó,short
cierren,close
volverán,They will return
usamos,We use
sabremos,We will know
maletín,briefcase
lenguaje,language
invitación,invitation
cambian,They change
rehenes,hostages
encontremos,let's find
descubrí,I discovered
audiencia,audience
agenda,diary
sígueme,Follow me
sensible,sensitive
reverendo,reverend
queréis,You want
cazar,hunt
bodas,wedding
seguiremos,will follow
rosas,ROSAS
retiro,withdrawal
primeras,first
poderosa,powerful
deberia,ought
cantando,singing
antiguos,ancient
teme,Fear
síganme,follow me
moviendo,moving
juventud,youth
equivocas,wrong
trabajadores,workers
seguí,I continued
salvaste,You saved
pulmones,lungs
payaso,clown
oírlo,hear it
fama,fame
engaño,deception
distrito,district
disculparme,Excuse me
ciudadano,citizen
robando,stealing
equipaje,luggage
ciencias,sciences
ubicación,location
federales,federal
tratamos,We treat
ofrece,offers
junio,June
extremadamente,extremely
actuando,acting
traducción,translation
supiste,You knew
sacarlo,remove it
preparando,preparing
letras,letters
típico,typical
reserva,booking
propuesta,proposal
plataforma,platform
mago,magician
linea,line
dude,hesitate
busque,I searched
tabaco,tobacco
principios,beginning
dormida,asleep
costó,cost
causar,cause
temer,fear
subiendo,going up
rollo,roll
hechizo,spell
gusano,worm
guau,Wow
grupos,groups
discos,discs
despierte,Wake up
ocurriendo,happening
horario,schedule
expedientes,files
envié,I sent
dibujos,drawings
concurso,contest
autopista,highway
atacó,attacked
vendedor,seller
sigas,Follow
rebeldes,rebels
radar,Radar
expresión,expression
escuchan,they listen
use,Use
resultó,turned out
principe,the prince
hágalo,Do it
exposición,exposure
demasiadas,too many
cuidando,taking care of
aterrizaje,landing
apetece,You want
tomaron,They took
sorprendente,amazing
responda,Answer
olvidaste,You forgot
lobos,Wolves
echado,lying
deberias,you should
cortado,chopped up
citas,quotes
abiertos,Open
zapato,shoe
preso,prisoner
lastimar,hurt
explosivos,Explosives
